A1,A2,B1,B2,C1,C2
carry,certain,comment,bias,bishop,cordial
cat,certainly,commercial,bid,bizarre,corroborate
CD,chance,commit,bill,blade,covet
cent,character,communication,biological,blast,craven
centre,charity,comparison,bitter,bleed,credulous
century,chat,competitor,blame,blend,culminate
chair,check,competitive,blanket,bless,culpable
change,chef,complaint,blind,blessing,culprit
chart,chemistry,complex,blow,boast,cunning
cheap,chip,concentrate,bold,bonus,cupidity
check,choice,conclude,bombing,booking,cursory
cheese,church,conclusion,bond,boom,daft
chicken,cigarette,confident,boost,bounce,daunting
child,circle,confirm,border,boundary,dawdle
chocolate,classical,confuse,bound,bow,dearth
choose,clear,confused,breast,breach,debilitate
cinema,clearly,connection,brick,breakdown,debunk
city,clever,consequence,brief,breakthrough,deceitful
class,climate,consist,briefly,breed,decrepit
classroom,close,consume,broad,broadband,decorous
clean,closed,consumer,broadcast,browser,defamation
climb,clothing,contact,broadcaster,brutal,deference
clock,cloud,container,broadly,buddy,definitive
close,coach,content,buck,buffer,deflate
clothes,coast,continuous,budget,bulk,defunct
club,code,contrast,bug,burden,dehort
coat,colleague,convenient,bullet,bureaucracy,deity
coffee,collect,convince,bunch,burial,deleterious
cold,column,cool,burn,burst,deliberation
college,comedy,costume,bush,cabinet,delineate
colour,comfortable,cottage,but,calculation,deplorable
come,comment,cotton,cabin,canvas,deplore
common,communicate,count,cable,capability,derelict
company,community,countryside,calculate,capitalism,deride
compare,compete,court,canal,capitalist,despondent
complete,competition,cover,cancel,cargo,destitute
computer,complain,covered,cancer,carriage,detachment
concert,completely,cream,candle,carve,detestable
conversation,condition,criminal,capable,casino,detrimental
cook,conference,cruel,capacity,casualty,deviation
cooking,connect,cultural,capture,catalogue,devious
cool,connected,currency,carbon,cater,devoid
correct,consider,current,cast,cattle,dexterous
cost,contain,currently,castle,caution,diaphanous
could,context,curtain,casual,cautious,diatribe
country,continent,custom,catch,cease,didactic
course,continue,cut,cave,cemetery,diffident
cousin,control,daily,cell,chamber,dilatory
cow,cook,damage,certainty,chaos,diligently
cream,cooker,deal,certificate,characterise,dingy
create,copy,decade,chain,charm,discern
culture,corner,decorate,chair,charter,disciple
cup,correctly,deep,chairman,choir,discordant
customer,count,define,challenge,chronic,discrepancy
cut,couple,definite,challenging,chunk,disdain
dad,cover,definition,championship,circulate,disaffection
dance,crazy,deliver,characteristic,circulation,dishevelled
dancer,creative,departure,charming,citizenship,disillusionment
dancing,credit,despite,chart,civic,disinterested
dangerous,crime,destination,chase,civilian,disjointed
dark,criminal,determine,cheek,clarity,dismay
date,cross,determined,cheer,clash,disparage
daughter,crowd,development,chief,classification,dispassionate
day,crowded,diagram,chop,cling,dispense
dear,cry,diamond,circuit,clinical,disregard
December,cupboard,difficulty,circumstance,closure,disseminate
decide,curly,direct,cite,cluster,dissertation
delicious,cycle,directly,citizen,coalition,dissolution
describe,daily,dirt,civil,coastal,dissonance
description,danger,disadvantage,civilization,cocktail,dogged
design,dark,disappointed,clarify,cognitive,dogmatic
desk,data,disappointing,classic,coincide,domicile
detail,dead,discount,classify,collaborate,dormant
dialogue,deal,dislike,cliff,collaboration,drawback
dictionary,dear,divide,clinic,collective,dubious
die,death,documentary,clip,collision,duplicity
diet,decision,donate,close,colonial,dwindle
difference,deep,double,closely,columnist,dynasty
different,definitely,doubt,coincidence,combat,ebullient
difficult,degree,dressed,collapse,commence,eccentric
dinner,dentist,drop,collector,commentary,eclectic
dirty,department,drum,colony,commentator,efficacious
discuss,depend,drunk,colourful,commerce,effusive
dish,desert,due,combination,commissioner,egregious
do,designer,dust,comfort,commodity,elated
doctor,destroy,duty,comic,communist,elicit
dog,detective,earthquake,command,companion,eloquent
dollar,develop,eastern,commander,comparable,elucidate
door,device,economic,commission,compassion,elusive
down,diary,economy,commitment,compel,emaciated
downstairs,differently,edge,committee,compelling,embellish
draw,digital,editor,commonly,compensate,embroil
dress,direct,educate,comparative,compensation,emulate
drink,direction,educated,completion,competence,endemic
drive,director,educational,complex,competent,enervate
driver,disagree,effective,complicated,compile,engender
during,disappear,effectively,component,complement,enigma
DVD,disaster,effort,compose,complexity,enigmatic
each,discover,election,composer,compliance,enmity
ear,discovery,element,compound,complication,enthrall
early,discussion,embarrassed,comprehensive,comply,enticing
east,disease,embarrassing,comprise,composition,ephemeral
easy,distance,emergency,compulsory,compromise,epitome
eat,divorced,emotion,concentration,compute,epitomise
egg,document,employment,concept,conceal,epoch
eight,double,empty,concern,concede,equanimity
eighteen,download,encourage,concerned,conceive,equivocal
eighty,downstairs,enemy,concrete,conception,erotic
elephant,drama,engaged,conduct,concession,err
eleven,drawing,engineering,confess,condemn,erstwhile
else,dream,entertain,confidence,confer,erudite
email,drive,entertainment,conflict,confession,eschew
end,driving,entrance,confusing,configuration,escort
enjoy,drop,entry,confusion,confine,esoteric
enough,drug,environmental,conscious,confirmation,esteem
euro,dry,episode,consequently,confront,euphemism
even,earn,equal,conservation,confrontation,evanescent
evening,earth,equally,conservative,congratulate,exacerbate
event,easily,escape,considerable,congregation,exacting
ever,education,essential,considerably,congressional,exalt
every,effect,eventually,consideration,conquer,excoriate
everybody,either,examine,consistent,conscience,excruciating
everyone,electric,except,consistently,consciousness,execrable
everything,electrical,exchange,conspiracy,consecutive,exemplify
exam,electricity,excitement,constant,consensus,exonerate
example,electronic,exhibition,constantly,consent,exquisite
excited,employ,expand,construct,conserve,expedite
exciting,employee,expected,construction,consistency,extol
exercise,employer,expedition,consult,consolidate,extraneous
expensive,empty,experience,consultant,constitute,exuberant
explain,ending,experienced,consumption,constitution,fabricate
extra,energy,experiment,contemporary,constitutional,facetious
eye,engine,explode,contest,constraint,fallacious
face,engineer,explore,contract,consultation,farcical
fact,enormous,explosion,contribute,contemplate,fastidious
fall,enter,export,contribution,contempt,fawn over
false,environment,extra,controversial,contend,feisty
family,equipment,face,controversy,contender,ferocious
famous,error,fairly,convenience,content,ferret out
fantastic,especially,familiar,convention,contention,fervent
far,essay,fancy,conventional,continually,fervid
farm,everyday,far,convert,contractor,fickle
farmer,everywhere,fascinating,convey,contradiction,flagrant
fast,evidence,fashionable,convinced,contrary,flaunt
fat,exact,fasten,convincing,contributor,fleeting
father,exactly,favour,cop,conversion,flimsy
favourite,excellent,fear,cope,convict,foment
February,except,feature,core,conviction,forbearance
feel,exist,fence,corporate,cooperate,foresee
feeling,expect,fighting,corporation,cooperative,forestall
festival,experience,file,corridor,coordinate,forlorn
few,experiment,financial,council,coordination,formidable
fifteen,expert,fire,counter (flat surface),coordinator,fortuitous
fifth,explanation,fitness,county,copper,fraught
fifty,express,fixed,courage,copyright,fraudulent
fill,expression,flag,coverage,correction,frenetic
film,extreme,flood,cowboy,correlate,frenzy
final,extremely,flour,crack,correlation,fretful
find,factor,flow,crash,correspond,frivolous
fine,factory,fold,creation,correspondence,frugal
finish,fail,folk,creativity,correspondent,furtive
fire,fair,following,creature,corresponding,futile
first,fall,force,credit,corrupt,galvanize
fish,fan,forever,crew,corruption,garish
five,farm,frame,crisis,costly,garner
flat,farming,freeze,criterion,councillor,garrulous
flight,fashion,frequently,critic,counselling,gauche
floor,fat,friendship,critical,counsellor,genial
flower,fear,frighten,critically,counter (argue),genuflect
fly,feature,frightened,criticism,counterpart,germane
follow,feed,frightening,criticize,countless,gingerly
food,female,frozen,crop,coup,glib
foot,fiction,fry,crucial,courtesy,gratuitous
football,field,fuel,cruise,craft,gravitas
for,fight,function,cry,crawl,gregarious
forget,figure,fur,cue,creator,gruelling
form,film,further,cure,credibility,gullible
forty,final,garage,curious,credible,hackneyed
four,finally,gather,current,creep,hailed
fourteen,finger,generally,curriculum,critique,haphazard
fourth,finish,generation,curve,crown,harangue
free,first,generous,curved,crude,harbinger
Friday,firstly,gentle,cute,crush,harness
friend,fish,gentleman,dairy,crystal,hasten
friendly,fishing,ghost,dare,cult,hedonistic
from,fit,giant,darkness,cultivate,heinous
front,fix,glad,database,curiosity,henceforth
fruit,flat,global,date,custody,heretical
full,flu,glove,deadline,cutting,histrionic
fun,fly,go,deadly,cynical,homogeneous
funny,flying,goods,dealer,dam,hyperbole
future,focus,grade,debate,damaging,hypocrisy
game,following,graduate,debt,dawn,hypothetical
garden,foreign,grain,decent,debris,iconoclast
geography,forest,grateful,deck,debut,idiosyncratic
get,fork,growth,declare,decision-making,idyllic
girl,formal,guard,decline,decisive,ignominious
girlfriend,fortunately,guilty,decoration,declaration,ignorant
give,forward,hand,decrease,dedicated,ill-advised
glass,free,hang,deeply,dedication,illicit
go,fresh,happiness,defeat,deed,immeasurably
good,fridge,hardly,defence,deem,immaculate
goodbye,frog,hate,defend,default,impasse
grandfather,fun,head,defender,defect,impassive
grandmother,furniture,headline,delay,defensive,immortal
grandparent,further,heating,delete,deficiency,immutable
great,future,heavily,deliberate,deficit,impartial
green,gallery,helicopter,deliberately,defy,impeccable
grey,gap,highlight,delight,delegate,impede
group,gas,highly,delighted,delegation,imperative
grow,gate,hire,delighted,delicate,imperceptibly
guess,general,historic,delivery,demon,imperialism
guitar,gift,historical,demand,denial,imperil
gym,goal,honest,democracy,denounce,imperious
hair,god,horrible,democratic,dense,impertinent
half,gold,horror,demonstrate,density,imperturbable
hand,golf,host,demonstration,dependence,impervious
happen,good,hunt,deny,depict,impetuous
happy,government,hurricane,depart,deploy,implausible
hard,grass,hurry,dependent,deployment,impracticable
hat,greet,identity,deposit,deprive,impregnable
hate,ground,ignore,depressed,deputy,impromptu
have,guest,illegal,depressing,descend,inadequacies
have to,guide,imaginary,depression,descent,inadvertent
he,gun,immediate,depth,designate,inane
head,guy,immigrant,derive,desirable,inaugurate
health,habit,impact,desert,desktop,incendiary
healthy,half,import,deserve,destructive,incessant
hear,hall,importance,desire,detain,incisive
hello,happily,impression,desperate,detection,incite
help,have,impressive,desperately,detention,inclement
her,headache,improvement,destruction,deteriorate,inclination
here,heart,incredibly,detail,devastate,inclusive
hey,heat,indeed,detailed,devil,inconceivable
hi,heavy,indicate,detect,devise,incomprehensible
high,height,indirect,determination,diagnose,incongruous
him,helpful,indoor,devote,diagnosis,incontrovertible
his,hero,indoors,differ,dictate,incorrigible
history,hers,influence,dig,dictator,incredulous
hobby,herself,ingredient,dime,differentiate,indefatigable
holiday,hide,injure,disability,dignity,indelible
home,high,injured,disabled,dilemma,indemnify
homework,hill,innocent,disagreement,dimension,indifference
hope,himself,intelligence,disappoint,diminish,indifferent
horse,his,intend,disappointment,dip,indignant
hospital,hit,intention,disc,diplomat,indolent
hot,hockey,invest,discipline,diplomatic,indomitable
hotel,hold,investigate,discount,directory,induction
hour,hole,involved,discourage,disastrous,indulgent
house,home,iron,dishonest,discard,industrious
how,hope,issue,dismiss,discharge,ineffable
however,huge,IT,disorder,disclose,inept
hundred,human,journal,display,disclosure,inexhaustible
hungry,hurt,judge,distant,discourse,inexorable
husband,ideal,keen,distinct,discretion,infallible
I,identify,key,distinguish,discrimination,inflammatory
ice,ill,keyboard,distract,dismissal,ingenuity
ice cream,illness,kick,distribute,displace,ingenious
idea,image,killing,distribution,disposal,ingenuous
if,immediately,kind (caring),district,dispose,ingrained
imagine,impossible,kiss,disturb,dispute,inhospitable
important,included,knock,dive,disrupt,inimical
improve,including,label,diverse,disruption,iniquitous
in,increase,laboratory,diversity,dissolve,innocuous
include,incredible,lack,divide,distinction,innumerable
information,independent,latest,division,distinctive,insatiable
interest,individual,lay,divorce,distort,inscrutable
interested,industry,layer,document,distress,insidious
interesting,informal,lead,domestic,disturbing,insipid
internet,injury,leading,dominant,divert,insolent
interview,insect,leaf,dominate,divine,insoluble
into,inside,leather,donation,doctrine,instigate
introduce,instead,legal,dot,documentation,insurmountable
island,instruction,leisure,downwards,domain,inter alia
it,instructor,length,dozen,dominance,internecine
its,instrument,level,draft,donor,intransigent
jacket,intelligent,lie (tell a lie),drag,dose,intrepid
January,international,limit,dramatic,drain,intrinsic
jeans,introduction,lip,dramatically,drift,intrusive
job,invent,liquid,drought,driving,intuition
join,invention,literature,dull,drown,inundate
journey,invitation,live,dump,dual,invasive
juice,invite,living,duration,dub,invective
July,involve,local,dynamic,dumb,irascible
June,item,locate,E,duo,irk
just,itself,located,eager,earnings,irreproachable
keep,jam,location,economics,ease,irreverent
key,jazz,lonely,economist,echo,itinerant
kilometre,jewellery,loss,edit,ecological,jaded
kind,joke,luxury,edition,educator,jeopardise
kitchen,journalist,mad,editorial,effectiveness,jocular
know,jump,magic,efficient,efficiency,judicious
land,kid,mainly,efficiently,ego,juxtapose
language,kill,mall,elbow,elaborate,kindle
large,king,management,elderly,electoral,lackadaisical
last,knee,market,elect,elevate,lacklustre
late,knife,marketing,electronics,eligible,laconic
later,knock,marriage,elegant,elite,lambaste
laugh,knowledge,meanwhile,elementary,embark,lament
learn,lab,measure,eliminate,embarrassment,languid
leave,lady,medium,elsewhere,embassy,latent
left,lake,mental,embrace,embed,laud
leg,lamp,mention,emerge,embody,laudable
lesson,land,mess,emission,emergence,leery of
let,laptop,mild,emotional,empirical,lenient
letter,last,mine (hole),emotionally,empower,lethargic
library,later,mix,emphasis,enact,level-headed
lie,laughter,mixture,emphasize,encompass,levity
life,law,mood,empire,encouragement,levy
light,lawyer,move,enable,encouraging,liability
like (similar),lazy,mud,encounter,endeavour,licentious
like (find sb/sth pleasant),lead,murder,engage,endless,liquidate
line,leader,muscle,enhance,endorse,liquidation
lion,learning,musical,enjoyable,endorsement,loquacious
list,least,mystery,enquiry,endure,lucid
listen,lecture,nail,ensure,enforce,ludicrous
little,lemon,narrative,entertaining,enforcement,lugubrious
live,lend,nation,enthusiasm,engagement,lukewarm
local,less,native,enthusiastic,engaging,luminous
long,level,naturally,entire,enrich,luxuriant
look,lifestyle,necessarily,entirely,enrol,madcap
lose,lift,need,entrepreneur,ensue,magnanimous
lot,light (a lamp),needle,envelope,enterprise,malevolent
love,light (not heavy),neighbourhood,equal,enthusiast,malleable
lunch,likely,neither,equip,entitle,malodorous
machine,link,net,equivalent,entity,maudlin
magazine,listener,next,era,epidemic,meagre
main,little,nor,erupt,equality,menacing
make,lock,normal,essentially,equation,meticulous
man,look,northern,establish,erect,misanthrope
many,lorry,note,estate,escalate,mischievous
map,lost,nuclear,estimate,essence,mismanagement
March,loud,obvious,ethic,establishment,mitigate
market,loudly,obviously,ethical,eternal,mollify
married,lovely,occasion,ethnic,evacuate,moniker
match (contest),low,occur,evaluate,evoke,morose
May,luck,odd,evaluation,evolutionary,mortal
maybe,lucky,official,even,exaggerate,mortifying
me,mail,old-fashioned,evident,excellence,muffle
meal,major,once,evil,exceptional,multitude
mean,male,operation,evolution,excess,mundane
meaning,manage,organised,evolve,exclusion,mutable
meat,manager,organiser,examination,exclusive,myopic
meet,manner,original,exceed,exclusively,myriad
meeting,mark,originally,exception,execute,nag
member,marry,ought,excessive,execution,naive
menu,material,ours,exclude,exert,nascent
message,mathematics,outdoor,excuse,exile,nebulous
metre,maths,outdoors,executive,expenditure,nefarious
midnight,matter,pack,existence,experimental,nemesis
mile,may modal,package,exotic,expire,neophyte
milk,media,painful,expansion,explicit,nonchalant
million,medical,pale,expectation,explicitly,nostalgia
minute,medicine,pan,expedition,exploitation,noxious
miss,memory,participate,expense,explosive,nuance
mistake,mention,particularly,expertise,extremist,obdurate
model,metal,pass,exploit,facilitate,obfuscate
modern,method,passion,exploration,faction,obligatory
moment,middle,path,expose,fade,obliterate
Monday,might,payment,exposure,fairness,obscure
money,mind,peaceful,extend,fatal,obsequious
month,mine (belongs to me),percentage,extension,fate,observance
more,mirror,perfectly,extensive,favourable,obsolete
morning,missing,performance,extensively,feat,obstinate
most,mobile,personally,extent,felony,obtuse
mother,monkey,persuade,external,feminist,obviate
mountain,moon,photographer,extract,fibre,ominous
mouse,mostly,photography,extraordinary,fierce,omission
mouth,motorcycle,pin,extreme,filmmaker,onerous
move,movement,pipe,fabric,filter,onset
movie,musical,place,fabulous,fine,opaque
much,musician,planning,facility,firearm,opportunistic
mum,myself,pleasant,faculty,fiscal,opulent
museum,narrow,pleasure,failed,fit,ordinance
music,national,plenty,failure,flaw,ornate
must,nature,plot,faith,flawed,ostensible
my,nearly,plus,fake,flee,ostentatious
milk,necessary,poem,fame,fleet,outweighs
million,neck,poet,fantasy,flesh,overweening
minute,need,poetry,fare,flexibility,pacify
miss,neither,point,fault,flourish,painstaking
mistake,nervous,poison,favour,fluid,palatable
model,network,poisonous,feather,footage,palatial
modern,noise,policy,fee,foreigner,palliate
moment,noisy,political,feed,forge,palpable
Monday,none,politician,feedback,formula,pamper
money,normal,politics,feel,formulate,panacea
month,normally,port,fellow,forth,panegyric
more,notice,portrait,figure,forthcoming,paradigm
morning,novel,possibly,file,foster,paragon
most,nowhere,pot,finance,fragile,paramount
mother,number,pour,finding,franchise,parochial
mountain,nut,poverty,firefighter,frankly,parsimonious
mouse,ocean,powder,firework,freshman,partisan
mouth,offer,powerful,firm,frustrated,patently
move,officer,practical,firm,frustrating,pathos
movie,oil,pray,firmly,frustration,paucity
much,onto,prayer,fix,functional,pave the way
mum,opportunity,prediction,flame,fundraising,pedantic
museum,option,prepared,flash,funeral,peevish
music,ordinary,presentation,flavour,gambling,penchant
must,organisation,press,flexible,gathering,pending
my,organise,pressure,float,gaze,penitent
nineteen,original,pretend,fold,gear,pensive
ninety,ourselves,previous,folding,generic,perennial
no,outside,previously,following,genocide,perfidious
no one,oven,priest,fond,gig,perfunctory
nobody,own,primary,fool,glance,perilous
north,owner,prince,forbid,glimpse,permeate
nose,pack,princess,forecast,glorious,pernicious
not,pain,printing,forgive,glory,perpetrator
note,painter,prisoner,format,governance,perpetual
nothing,palace,private,formation,grace,persecute
November,pants,producer,former,grasp,perturbed
now,parking,production,formerly,grave (cemetery),pervasive
number,particular,profession,fortunate,grave (serious),pervert
nurse,pass,profit,fortune,gravity,pessimistic
object,passenger,programme,forum,grid,petulant
o'clock,past,promote,forward,grief,philanthropic
October,patient,proper,fossil,grin,phlegmatic
of,pattern,properly,found,grind,piety
off,pay,property,foundation,grip,pinnacle
office,peace,protest,founder,gross,pioneering
often,penny,proud,fraction,guerrilla,pithy
oh,per,prove,fragment,guidance,pious
OK,per cent,pull,framework,guilt,placate
old,perform,punish,fraud,gut,placid
on,perhaps,punishment,free,hail,plasticity
once,permission,push,freedom,halfway,platitude
one,personality,qualification,freely,halt,plausible
onion,pet,qualified,frequency,handful,plight
online,petrol,qualify,frequent,handling,poignant
only,photograph,queue,fuel,handy,pompous
open,physical,quit,fulfil,harassment,ponder
opinion,physics,quotation,full-time,hardware,ponderous
opposite,pick,quote,fully,harmony,posthumous
or,pilot,race (people),function,harsh,precarious
orange,planet,racing,fund,harvest,precipitate
order,plant,range,fundamental,hatred,preclude
other,plastic,rare,fundamentally,haunt,precocious
our,plate,rarely,funding,hazard,predilection
out,platform,reaction,furious,heighten,predominance
outside,please,reality,furthermore,heritage,preeminent
over,pleased,receipt,gain,hierarchy,preposterous
own,pocket,recommendation,gallon,high-profile,prerequisite
page,polite,reference,gaming,hint,presumptuous
paint,pollution,reflect,gang,homeland,pretentious
painting,pop,regularly,gay,hopeful,prevalent
pair,population,reject,gender,horizon,prevaricate
paper,position,relate,gene,horn,pristine
paragraph,possession,related,generate,hostage,probity
parent,possibility,relation,genetic,hostile,proclivity
park,poster,relative,genius,hostility,procrastinate
part,power,relaxed,genre,humanitarian,procurement
partner,predict,relaxing,genuine,humanity,prodigal
party,present,release,genuinely,humble,prodigious
passport,president,reliable,gesture,hydrogen,profane
past,prevent,religion,globalization,identification,profess
pay,print,religious,globe,ideological,profligate
pen,printer,remain,golden,ideology,prohibitive
pencil,prison,remind,goodness,idiot,proliferation
people,prize,remote,gorgeous,ignorance,propensity
pepper,process,rent,govern,imagery,propitious
perfect,produce,repair,grab,immense,propriety
period,professional,repeat,grade,imminent,prosaic
person,professor,repeated,gradually,implementation,protagonist
personal,profile,represent,grand,imprison,protract
phone,program,request,grant,inability,proven
photo,progress,require,graphic,inadequate,prudent
photograph,promise,reservation,graphics,inappropriate,puerile
phrase,pronounce,resource,greatly,incarcerate,pugnacious
piano,protect,respect,greenhouse,incarceration,punctilious
picture,provide,responsibility,guarantee,incidence,pungent
piece,pub,responsible,guideline,inclined,pusillanimous
pig,public,result,habitat,inclusion,quaint
pink,publish,retire,handle,incur,quandary
place,pull,retired,harbour,indicator,quell
plan,purpose,revise,harm,indictment,querulous
plane,push,ring,harmful,indigenous,quiescent
plant,quality,rise,headquarters,induce,quintessential
play,quantity,risk,heal,indulge,quixotic
player,queen,robot,healthcare,inequality,rambunctious
please,question,roll,hearing,infamous,rancour
point,quietly,romantic,heaven,infant,rapacious
police,race (run),rope,heel,infect,rapport
policeman,railway,rough,hell,inflict,ratify
pool,raise,row,helmet,influential,raucous
poor,rate,royal,hence,inherent,rebuke
popular,rather,rugby,herb,inhibit,recalcitrant
positive,reach,rule,hesitate,initiate,recant
possible,react,safety,hidden,inject,reciprocal
post,realize,sail,high,injection,reclusive
potato,receive,sailor,hilarious,injustice,reconcile
pound,recent,sample,hip,inmate,recondite
practice,recently,sand,hire,inquire,redress
practise,reception,scan,historian,insertion,refute
prefer,recipe,scientific,hold,insider,relegate
prepare,recognise,script,hollow,inspect,relinquish
present,recommend,sculpture,holy,inspection,reminiscent
pretty,record,secondary,homeless,inspiration,remiss
price,recording,security,honesty,instinct,remit
probably,recycle,seed,honey,institutional,remorse
problem,reduce,sensible,honour,instruct,renounce
product,refer,separate,hook,instrumental,replete
programme,refuse,seriously,hopefully,insufficient,reprehensible
project,region,servant,host,insult,reprieve
purple,regular,set (put),house,intact,reprimand
put,relationship,set (group),household,intake,reproach
quarter,remove,setting,housing,integral,repudiate
question,repair,sex,humorous,integrated,repugnant
quick,replace,sexual,humour,integration,rescind
quickly,reply,shake,hunger,integrity,residual
quiet,report,share,hunt,intensify,resilient
quite,reporter,sharp,hunting,intensity,resolute
radio,request,shelf,hurt,intensive,resolutely
rain,research,shell,hypothesis,intent,resplendent
read,researcher,shift,icon,interactive,reticent
reader,respond,shine,ID,interface,retract
reading,response,shiny,ideal,interfere,reverent
ready,rest,shoot,identical,interference,reverential
real,review,shy,illusion,interim,revoke
really,ride,sight,illustrate,interior,rigour
reason,ring,signal,illustration,intermediate,rigorous
red,ring,silent,imagination,intersection,ruse
relax,rise,silly,immigration,intervene,rupture
